"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Close";"Process PROC.2026.00002753 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00002753";"process_id";;;;;;
"Register request";"Request PROC.2026.00002862 was registered by Diogo Almeida for project Student Portal, with an estimated amount of 1.240,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1240,75 €";"amount";"PROC.2026.00002862";"process_id";"Student Portal";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00002862 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00002862";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00002862, in the amount of 1.240,75€, under budget record BUD.2026.00002856. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1240,75 €";"amount";"BUD.2026.00002856";"budget_id";"PROC.2026.00002862";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00002862, in the amount of 1.240,75€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"1240,75 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00002862";"process_id";;
"Commit expense";"Commitment COM.2026.00002871 was generated for process PROC.2026.00002862, in the amount of 1.240,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"1240,75 €";"amount";"COM.2026.00002871";"commitment_id";"PROC.2026.00002862";"process_id";;
"Issue order";"Order ORD.2026.00002858 was issued for process PROC.2026.00002862. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00002858";"order_id";"PROC.2026.00002862";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00002862. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00002862";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00002862 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00002862";"process_id";;;;;;
"Register request";"Request PROC.2026.00002999 was registered by Clara Reis for project Secure Archive, with an estimated amount of 5.918,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"5918,50 €";"amount";"PROC.2026.00002999";"process_id";"Secure Archive";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00002999 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00002999";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00002999, in the amount of 5.918,50€, under budget record BUD.2026.00002930. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"5918,50 €";"amount";"BUD.2026.00002930";"budget_id";"PROC.2026.00002999";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00002999, in the amount of 5.918,50€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"5918,50 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00002999";"process_id";;
"Commit expense";"Commitment COM.2026.00002933 was generated for process PROC.2026.00002999, in the amount of 5.918,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"5918,50 €";"amount";"COM.2026.00002933";"commitment_id";"PROC.2026.00002999";"process_id";;
"Issue order";"Order ORD.2026.00002929 was issued for process PROC.2026.00002999. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00002929";"order_id";"PROC.2026.00002999";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00002999. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00002999";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00002999 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00002999";"process_id";;;;;;
"Register request";"Request PROC.2026.00003072 was registered by Alice Martins for project Student Portal, with an estimated amount of 8.250,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"8250,25 €";"amount";"PROC.2026.00003072";"process_id";"Student Portal";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00003072 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003072";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003072, in the amount of 8.250,25€, under budget record BUD.2026.00003082. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"8250,25 €";"amount";"BUD.2026.00003082";"budget_id";"PROC.2026.00003072";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003072, in the amount of 8.250,25€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"8250,25 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00003072";"process_id";;
"Commit expense";"Commitment COM.2026.00003055 was generated for process PROC.2026.00003072, in the amount of 8.250,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"8250,25 €";"amount";"COM.2026.00003055";"commitment_id";"PROC.2026.00003072";"process_id";;
"Issue order";"Order ORD.2026.00003048 was issued for process PROC.2026.00003072. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003048";"order_id";"PROC.2026.00003072";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00003072. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003072";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00003072 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003072";"process_id";;;;;;
"Register request";"Request PROC.2026.00003176 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 1.450,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1450,75 €";"amount";"PROC.2026.00003176";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00003176 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003176";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003176, in the amount of 1.450,75€, under budget record BUD.2026.00003122. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1450,75 €";"amount";"BUD.2026.00003122";"budget_id";"PROC.2026.00003176";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003176, in the amount of 1.450,75€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"1450,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00003176";"process_id";;
"Commit expense";"Commitment COM.2026.00003152 was generated for process PROC.2026.00003176, in the amount of 1.450,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"1450,75 €";"amount";"COM.2026.00003152";"commitment_id";"PROC.2026.00003176";"process_id";;
"Issue order";"Order ORD.2026.00003159 was issued for process PROC.2026.00003176. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003159";"order_id";"PROC.2026.00003176";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00003176. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003176";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00003176 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003176";"process_id";;;;;;
"Register request";"Request PROC.2026.00003263 was registered by Clara Reis for project Student Portal, with an estimated amount of 4.584,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"4584,75 €";"amount";"PROC.2026.00003263";"process_id";"Student Portal";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00003263 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003263";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003263, in the amount of 4.584,75€, under budget record BUD.2026.00003239. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"4584,75 €";"amount";"BUD.2026.00003239";"budget_id";"PROC.2026.00003263";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003263, in the amount of 4.584,75€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"4584,75 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00003263";"process_id";;
"Commit expense";"Commitment COM.2026.00003255 was generated for process PROC.2026.00003263, in the amount of 4.584,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"4584,75 €";"amount";"COM.2026.00003255";"commitment_id";"PROC.2026.00003263";"process_id";;
"Issue order";"Order ORD.2026.00003256 was issued for process PROC.2026.00003263. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003256";"order_id";"PROC.2026.00003263";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00003263. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003263";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00003263 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003263";"process_id";;;;;;
"Register request";"Request PROC.2026.00003381 was registered by Clara Reis for project Secure Archive, with an estimated amount of 4.414,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"4414,50 €";"amount";"PROC.2026.00003381";"process_id";"Secure Archive";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00003381 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003381";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003381, in the amount of 4.414,50€, under budget record BUD.2026.00003337. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"4414,50 €";"amount";"BUD.2026.00003337";"budget_id";"PROC.2026.00003381";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003381, in the amount of 4.414,50€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"4414,50 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00003381";"process_id";;
"Commit expense";"The expense associated with process PROC.2026.00003381 was committed under reference COM.2026.00003325 for project Secure Archive. This step records the authorized amount in the financial workflow and enables the procurement activity to continue with the issuing of the order.";"COM.2026.00003325";"commitment_id";"PROC.2026.00003381";"process_id";"Secure Archive";"project";;
"Issue order";"Order ORD.2026.00003384 was issued for process PROC.2026.00003381. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003384";"order_id";"PROC.2026.00003381";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00003381. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003381";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00003381 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003381";"process_id";;;;;;
"Register request";"Request PROC.2026.00003437 was registered by Bruno Costa for project Secure Archive, with an estimated amount of 4.224,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"4224,25 €";"amount";"PROC.2026.00003437";"process_id";"Secure Archive";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00003437 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003437";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003437, in the amount of 4.224,25€, under budget record BUD.2026.00003462. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"4224,25 €";"amount";"BUD.2026.00003462";"budget_id";"PROC.2026.00003437";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003437, in the amount of 4.224,25€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"4224,25 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00003437";"process_id";;
"Commit expense";"Commitment COM.2026.00003462 was generated for process PROC.2026.00003437, in the amount of 4.224,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"4224,25 €";"amount";"COM.2026.00003462";"commitment_id";"PROC.2026.00003437";"process_id";;
"Issue order";"Order ORD.2026.00003467 was issued for process PROC.2026.00003437. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003467";"order_id";"PROC.2026.00003437";"process_id";;;;
"Notify requester";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00003437. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003437";"process_id";"Bruno Costa";"requester";;;;
"Close";"Process PROC.2026.00003437 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003437";"process_id";;;;;;
"Register request";"Request PROC.2026.00003579 was registered by Alice Martins for project Student Portal, with an estimated amount of 3.783,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"3783,75 €";"amount";"PROC.2026.00003579";"process_id";"Student Portal";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00003579 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003579";"process_id";;;;;;
"Check budget";"The amount 3.783,75€ associated with process PROC.2026.00003579 is covered by budget record BUD.2026.00003590. The verification confirms that the requested expenditure has available funding and can be forwarded to the responsible authority for formal authorization of the expense.";"3783,75 €";"amount";"BUD.2026.00003590";"budget_id";"PROC.2026.00003579";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003579, in the amount of 3.783,75€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"3783,75 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00003579";"process_id";;
"Commit expense";"Commitment COM.2026.00003561 was generated for process PROC.2026.00003579, in the amount of 3.783,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"3783,75 €";"amount";"COM.2026.00003561";"commitment_id";"PROC.2026.00003579";"process_id";;
"Issue order";"Order ORD.2026.00003532 was issued for process PROC.2026.00003579. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003532";"order_id";"PROC.2026.00003579";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00003579. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003579";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00003579 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003579";"process_id";;;;;;
"Register request";"Request PROC.2026.00003622 was registered by Diogo Almeida for project Digital Campus, with an estimated amount of 7.608,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"7608,00 €";"amount";"PROC.2026.00003622";"process_id";"Digital Campus";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00003622 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003622";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003622, in the amount of 7.608,00€, under budget record BUD.2026.00003682. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"7608,00 €";"amount";"BUD.2026.00003682";"budget_id";"PROC.2026.00003622";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003622, in the amount of 7.608,00€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"7608,00 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00003622";"process_id";;
"Commit expense";"Commitment COM.2026.00003677 was generated for process PROC.2026.00003622, in the amount of 7.608,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"7608,00 €";"amount";"COM.2026.00003677";"commitment_id";"PROC.2026.00003622";"process_id";;
"Issue order";"Order ORD.2026.00003686 was issued for process PROC.2026.00003622. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003686";"order_id";"PROC.2026.00003622";"process_id";;;;
"Notify requester";"A notification concerning project Digital Campus was sent to requester Diogo Almeida in the context of process PROC.2026.00003622. The message communicates the current status of the procedure and confirms that the necessary internal processing steps have been completed.";"PROC.2026.00003622";"process_id";"Digital Campus";"project";"Diogo Almeida";"requester";;
"Close";"Process PROC.2026.00003622 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003622";"process_id";;;;;;
"Register request";"Request PROC.2026.00003720 was registered by Clara Reis for project Digital Campus, with an estimated amount of 1.762,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1762,50 €";"amount";"PROC.2026.00003720";"process_id";"Digital Campus";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00003720 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003720";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003720, in the amount of 1.762,50€, under budget record BUD.2026.00003729. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1762,50 €";"amount";"BUD.2026.00003729";"budget_id";"PROC.2026.00003720";"process_id";;
"Authorize expense";"Expense authorization is granted for process PROC.2026.00003720, corresponding to the amount of 1.762,50€. The decision is supported by the previously validated information and by the applicable legal reference Law 35/2014, allowing the financial commitment to be generated.";"1762,50 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00003720";"process_id";;
"Commit expense";"Commitment COM.2026.00003717 was generated for process PROC.2026.00003720, in the amount of 1.762,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"1762,50 €";"amount";"COM.2026.00003717";"commitment_id";"PROC.2026.00003720";"process_id";;
"Issue order";"The order ORD.2026.00003759 was issued for project Digital Campus within process PROC.2026.00003720. The document consolidates the administrative, budgetary, and authorization information previously recorded, allowing the case to move to notification and final closure activities.";"ORD.2026.00003759";"order_id";"PROC.2026.00003720";"process_id";"Digital Campus";"project";;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00003720. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003720";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00003720 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003720";"process_id";;;;;;
"Register request";"Request PROC.2026.00003898 was registered by Diogo Almeida for project Digital Campus, with an estimated amount of 1.655,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1655,25 €";"amount";"PROC.2026.00003898";"process_id";"Digital Campus";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00003898 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003898";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003898, in the amount of 1.655,25€, under budget record BUD.2026.00003813. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1655,25 €";"amount";"BUD.2026.00003813";"budget_id";"PROC.2026.00003898";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003898, in the amount of 1.655,25€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"1655,25 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00003898";"process_id";;
"Commit expense";"Commitment COM.2026.00003896 was generated for process PROC.2026.00003898, in the amount of 1.655,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"1655,25 €";"amount";"COM.2026.00003896";"commitment_id";"PROC.2026.00003898";"process_id";;
"Issue order";"Order ORD.2026.00003881 was issued for process PROC.2026.00003898. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003881";"order_id";"PROC.2026.00003898";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00003898. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003898";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00003898 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003898";"process_id";;;;;;
"Register request";"Request PROC.2026.00003971 was registered by Clara Reis for project Student Portal, with an estimated amount of 4.290,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"4290,25 €";"amount";"PROC.2026.00003971";"process_id";"Student Portal";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00003971 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00003971";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00003971, in the amount of 4.290,25€, under budget record BUD.2026.00003952. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"4290,25 €";"amount";"BUD.2026.00003952";"budget_id";"PROC.2026.00003971";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00003971, in the amount of 4.290,25€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"4290,25 €";"amount";"Article 16";"legal_ref";"PROC.2026.00003971";"process_id";;
"Commit expense";"Commitment COM.2026.00003920 was generated for process PROC.2026.00003971, in the amount of 4.290,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"4290,25 €";"amount";"COM.2026.00003920";"commitment_id";"PROC.2026.00003971";"process_id";;
"Issue order";"Order ORD.2026.00003959 was issued for process PROC.2026.00003971. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00003959";"order_id";"PROC.2026.00003971";"process_id";;;;
"Notify requester";"Requester Clara Reis was notified about the outcome of process PROC.2026.00003971. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00003971";"process_id";"Clara Reis";"requester";;;;
"Close";"Process PROC.2026.00003971 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00003971";"process_id";;;;;;
"Register request";"Request PROC.2026.00004027 was registered by Clara Reis for project Student Portal, with an estimated amount of 4.382,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"4382,25 €";"amount";"PROC.2026.00004027";"process_id";"Student Portal";"project";"Clara Reis";"requester"
"Validate request";"The request PROC.2026.00004027 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00004027";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00004027, in the amount of 4.382,25€, under budget record BUD.2026.00004063. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"4382,25 €";"amount";"BUD.2026.00004063";"budget_id";"PROC.2026.00004027";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00004027, in the amount of 4.382,25€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"4382,25 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00004027";"process_id";;
"Commit expense";"Commitment COM.2026.00004034 was generated for process PROC.2026.00004027, in the amount of 4.382,25€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"4382,25 €";"amount";"COM.2026.00004034";"commitment_id";"PROC.2026.00004027";"process_id";;
"Issue order";"Order ORD.2026.00004011 was issued for process PROC.2026.00004027. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00004011";"order_id";"PROC.2026.00004027";"process_id";;;;
